"trait_name","question_text","trait_weight","reverse_scoring","difficulty","category"
"Discipline","I consistently follow through on commitments I make to myself, even when I don't feel like it.",1,false,"Medium","behavior"
"Discipline","When I set a routine, I stick to it for weeks without breaking it.",1.2,false,"Hard","routine"
"Discipline","I often start projects with enthusiasm but struggle to finish them.",1,true,"Easy","behavior"
"Discipline","I can resist immediate pleasures when they conflict with my long-term goals.",1.1,false,"Medium","mindset"
"Discipline","I maintain healthy habits even during stressful periods.",1.2,false,"Hard","routine"
"Discipline","I procrastinate on important tasks until the last minute.",1,true,"Easy","behavior"
"Discipline","I can work on boring or tedious tasks without getting distracted.",1,false,"Medium","behavior"
"Discipline","I keep my living and working spaces organized without external pressure.",0.8,false,"Easy","routine"
"Discipline","I can delay gratification for weeks or months to achieve bigger rewards.",1.3,false,"Hard","mindset"
"Discipline","I give up on difficult goals when progress feels slow.",1.1,true,"Medium","mindset"
"Discipline","I maintain consistent sleep and wake times, even on weekends.",0.9,false,"Medium","routine"
"Discipline","I can say no to social invitations when I have important work to do.",1,false,"Medium","social"
"Focus","I can work on a single task for hours without checking my phone or social media.",1.2,false,"Hard","behavior"
"Focus","My mind frequently wanders during conversations or meetings.",1,true,"Easy","social"
"Focus","I can ignore distractions in my environment when I need to concentrate.",1,false,"Medium","behavior"
"Focus","I often start multiple tasks at once and struggle to complete any of them.",1.1,true,"Easy","behavior"
"Focus","I can maintain concentration even when working on complex or challenging problems.",1.2,false,"Hard","mindset"
"Focus","I notice when my attention drifts and can quickly bring it back to the task.",1.1,false,"Medium","mindset"
"Focus","I find it difficult to read books or articles without getting distracted.",1,true,"Easy","behavior"
"Focus","I can tune out background noise and activity when I need to concentrate.",0.9,false,"Medium","behavior"
"Focus","I lose track of time when working on something that truly interests me.",0.8,false,"Easy","behavior"
"Focus","I can maintain focus during long meetings or lectures without zoning out.",1,false,"Medium","social"
"Focus","I get easily overwhelmed when facing multiple competing priorities.",1,true,"Medium","emotion"
"Focus","I can work effectively in open office environments or busy spaces.",0.9,false,"Medium","behavior"
"Energy","I wake up feeling refreshed and ready to tackle the day most mornings.",1,false,"Easy","physical"
"Energy","I often feel drained and exhausted by mid-afternoon.",1,true,"Easy","physical"
"Energy","I maintain consistent energy levels throughout the day without relying on caffeine.",1.2,false,"Hard","physical"
"Energy","I have the stamina to work on challenging projects for extended periods.",1.1,false,"Medium","physical"
"Energy","I need multiple breaks during the day to recharge and refocus.",0.8,true,"Easy","routine"
"Energy","I feel energized after physical exercise rather than depleted.",1,false,"Medium","physical"
"Energy","I can bounce back quickly after stressful or demanding situations.",1.2,false,"Hard","emotion"
"Energy","I frequently feel too tired to pursue personal interests after work.",1,true,"Easy","routine"
"Energy","I notice patterns in my energy levels and can optimize my schedule accordingly.",1.1,false,"Medium","mindset"
"Energy","I feel mentally sharp and alert during my most important tasks.",1,false,"Medium","mindset"
"Energy","I rely heavily on sugar, caffeine, or other stimulants to get through the day.",1.1,true,"Easy","routine"
"Energy","I can maintain enthusiasm for projects even when they become routine.",1,false,"Medium","mindset"
"Confidence","I speak up confidently in group settings, even when my opinion might be unpopular.",1.2,false,"Hard","social"
"Confidence","I often doubt my abilities even in areas where I have proven success.",1.1,true,"Medium","mindset"
"Confidence","I take on challenging projects without waiting for permission or approval.",1.1,false,"Medium","behavior"
"Confidence","I worry excessively about what others think of my decisions.",1,true,"Easy","emotion"
"Confidence","I can present my ideas clearly and persuasively to others.",1,false,"Medium","social"
